participant.ID,gender,experiment,treatment,exp.level,age,score,wait.pref,wait.spell,pos.baseline,neg.baseline,pos.post,neg.post,motivation
111,Cisgender woman,waiting,winner,inexperienced,17,15,0,start,27,13,38,19,4
112,Cisgender man,waiting,loser,experienced,19,-9,1,wait,31,29,36,30,4
113,Cisgender man,waiting,winner,experienced,18,18,1,wait,35,13,38,11,4
114,Cisgender man,waiting,loser,experienced,18,-17,0,start,30,14,29,21,4
115,Cisgender woman,waiting,winner,inexperienced,18,15,0,start,33,14,42,16,4
116,Cisgender man,waiting,loser,experienced,18,-19,1,wait,39,13,27,20,2
117,Cisgender woman,waiting,loser,inexperienced,18,-29,0,start,21,21,20,22,3
118,Cisgender man,waiting,winner,experienced,18,22,0,start,38,20,45,26,5
119,Cisgender woman,waiting,loser,inexperienced,18,-27,0,start,32,34,34,40,4
120,Cisgender woman,waiting,winner,experienced,18,12,0,start,20,12,24,12,4
121,Cisgender woman,waiting,winner,experienced,20,13,0,start,35,16,45,14,4
122,Cisgender woman,waiting,loser,experienced,22,-22,1,wait,30,15,26,18,3
123,Cisgender man,waiting,loser,experienced,18,-14,0,start,18,10,23,11,3
124,Cisgender woman,waiting,winner,inexperienced,18,20,0,start,17,14,22,13,3
125,Cisgender woman,waiting,winner,inexperienced,18,6,1,wait,22,25,22,23,2
126,Cisgender man,waiting,loser,experienced,17,-10,1,wait,40,20,21,18,1
127,Cisgender man,waiting,loser,experienced,17,-18,0,start,36,16,23,13,1
128,Cisgender man,waiting,winner,experienced,18,25,0,start,27,14,38,14,5
129,Cisgender woman,waiting,loser,inexperienced,17,-28,0,start,23,14,37,11,4
130,Cisgender woman,waiting,winner,inexperienced,18,18,0,start,25,16,25,15,3
131,Cisgender woman,waiting,winner,experienced,31,2,0,start,21,10,21,12,3
132,Cisgender woman,waiting,loser,inexperienced,18,-26,1,wait,32,15,33,20,5
133,Cisgender woman,waiting,loser,experienced,17,-24,1,wait,14,12,19,13,3
134,Cisgender man,waiting,winner,experienced,17,15,1,wait,30,11,29,13,5
135,Cisgender woman,waiting,winner,experienced,17,22,0,start,26,10,40,10,5
