participant.ID,gender,experiment,exp.level,age,treatment,score,pref,pref.spell,pos.baseline,neg.baseline,pos.post,neg.post,motivation
125,Cisgender man,switching,NA,18,winner,29,2,NA,44,11,49,11,NA
126,Cisgender woman,switching,NA,19,loser,-26,5,NA,25,11,32,11,NA
127,Cisgender man,switching,NA,19,loser,-7,3,NA,29,12,31,15,NA
128,Cisgender woman,switching,NA,18,winner,27,3,NA,33,11,34,10,NA
129,Cisgender man,switching,NA,21,loser,-23,4,NA,36,30,36,27,NA
130,Cisgender man,switching,NA,18,winner,29,3,NA,19,15,31,15,NA
131,Cisgender woman,switching,NA,19,loser,-20,5,NA,35,23,23,22,NA
132,Cisgender woman,switching,NA,18,winner,27,2,NA,27,10,30,10,NA
133,Cisgender man,switching,NA,18,loser,-24,3,NA,22,13,22,11,NA
134,Cisgender man,switching,NA,18,winner,31,4,NA,28,10,32,10,NA
135,Cisgender man,switching,NA,22,loser,-11,3,NA,25,12,19,11,NA
136,Cisgender woman,waiting,inexperienced,18,winner,18,0,start,19,18,31,14,4
137,Cisgender man,waiting,experienced,18,loser,-14,1,wait,39,16,33,16,4
138,Prefer not to say,waiting,inexperienced,18,loser,-31,1,wait,27,22,26,35,3
139,Cisgender woman,waiting,inexperienced,16,winner,11,0,start,38,18,43,18,5
140,Cisgender man,waiting,inexperienced,18,winner,20,1,wait,26,13,36,12,5
141,Cisgender woman,waiting,inexperienced,17,loser,-21,1,wait,29,24,29,29,3
142,Cisgender man,waiting,experienced,17,loser,-25,1,wait,30,15,26,24,4
143,Cisgender woman,waiting,experienced,18,winner,7,0,start,19,17,42,31,5
144,Cisgender woman,waiting,inexperienced,18,loser,-24,1,wait,21,15,23,12,3
145,Cisgender woman,waiting,experienced,18,winner,15,0,start,34,21,39,15,4
146,Cisgender woman,waiting,inexperienced,17,winner,19,0,start,19,13,17,10,4
147,Cisgender woman,waiting,experienced,17,loser,-27,0,start,25,13,28,12,2
148,Cisgender man,waiting,experienced,17,winner,27,0,start,30,10,21,12,3
